timestamp,plant_id,date,hour,month,weekday,day_of_year,time_category,ambient_temp,module_temp,irradiation,temp_diff_module_ambient,temp_excess,irradiance_category,total_dc_power,total_ac_power,total_daily_yield,efficiency_kwh_kwp,capacity_factor,n_inverters,yield_per_inverter,dc_ac_ratio,is_operating,nominal_capacity
2020-05-15T00:00:00Z,4135001,2020-05-15,0,5,Fri,136,Night_Low,25.184316133333333,22.8575074,0,-2.3268087333333334,0,Night,0,0,0,0,0,21,0,NA,0,50000
2020-05-15T00:15:00Z,4135001,2020-05-15,0,5,Fri,136,Night_Low,25.08458866666667,22.761667866666663,0,-2.3229208000000057,0,Night,0,0,0,0,0,21,0,NA,0,50000
2020-05-15T00:30:00Z,4135001,2020-05-15,0,5,Fri,136,Night_Low,24.935752600000004,22.592305533333334,0,-2.34344706666667,0,Night,0,0,0,0,0,21,0,NA,0,50000
2020-05-15T00:45:00Z,4135001,2020-05-15,0,5,Fri,136,Night_Low,24.8461304,22.360852133333335,0,-2.485278266666665,0,Night,0,0,0,0,0,21,0,NA,0,50000
2020-05-15T01:00:00Z,4135001,2020-05-15,1,5,Fri,136,Night_Low,24.621525357142858,22.165422642857145,0,-2.456102714285713,0,Night,0,0,0,0,0,22,0,NA,0,50000
2020-05-15T01:15:00Z,4135001,2020-05-15,1,5,Fri,136,Night_Low,24.5360922,21.968570866666667,0,-2.5675213333333318,0,Night,0,0,0,0,0,21,0,NA,0,50000
2020-05-15T01:30:00Z,4135001,2020-05-15,1,5,Fri,136,Night_Low,24.638673866666664,22.352925666666668,0,-2.285748199999997,0,Night,0,0,0,0,0,21,0,NA,0,50000
2020-05-15T01:45:00Z,4135001,2020-05-15,1,5,Fri,136,Night_Low,24.873022333333335,23.1609192,0,-1.7121031333333363,0,Night,0,0,0,0,0,22,0,NA,0,50000
2020-05-15T02:00:00Z,4135001,2020-05-15,2,5,Fri,136,Night_Low,24.936930466666663,23.026113,0,-1.9108174666666642,0,Night,0,0,0,0,0,21,0,NA,0,50000
2020-05-15T02:15:00Z,4135001,2020-05-15,2,5,Fri,136,Night_Low,25.0122476,23.343229266666665,0,-1.6690183333333337,0,Night,0,0,0,0,0,21,0,NA,0,50000
2020-05-15T02:30:00Z,4135001,2020-05-15,2,5,Fri,136,Night_Low,25.005149333333335,23.639459266666663,0,-1.365690066666673,0,Night,0,0,0,0,0,21,0,NA,0,50000
2020-05-15T02:45:00Z,4135001,2020-05-15,2,5,Fri,136,Night_Low,24.99301953333333,24.0394858,0,-0.9535337333333302,0,Night,0,0,0,0,0,21,0,NA,0,50000
2020-05-15T03:00:00Z,4135001,2020-05-15,3,5,Fri,136,Night_Low,25.016309428571425,24.384135571428573,0,-0.6321738571428526,0,Night,0,0,0,0,0,21,0,NA,0,50000
2020-05-15T03:15:00Z,4135001,2020-05-15,3,5,Fri,136,Night_Low,24.985215266666664,24.351507733333335,0,-0.6337075333333289,0,Night,0,0,0,0,0,21,0,NA,0,50000
2020-05-15T03:30:00Z,4135001,2020-05-15,3,5,Fri,136,Night_Low,24.937731933333332,24.060296533333336,0,-0.877435399999996,0,Night,0,0,0,0,0,21,0,NA,0,50000
2020-05-15T03:45:00Z,4135001,2020-05-15,3,5,Fri,136,Night_Low,24.879099533333335,23.709794133333336,0,-1.169305399999999,0,Night,0,0,0,0,0,21,0,NA,0,50000
2020-05-15T04:00:00Z,4135001,2020-05-15,4,5,Fri,136,Night_Low,24.678902199999996,22.589941533333334,0,-2.0889606666666616,0,Night,0,0,0,0,0,21,0,NA,0,50000
2020-05-15T04:15:00Z,4135001,2020-05-15,4,5,Fri,136,Night_Low,24.3519308,21.783642533333335,0,-2.5682882666666664,0,Night,0,0,0,0,0,22,0,NA,0,50000
2020-05-15T04:30:00Z,4135001,2020-05-15,4,5,Fri,136,Night_Low,24.0626222,21.852524933333335,0,-2.210097266666665,0,Night,0,0,0,0,0,22,0,NA,0,50000
2020-05-15T04:45:00Z,4135001,2020-05-15,4,5,Fri,136,Night_Low,24.013224200000003,22.306315,0,-1.706909200000002,0,Night,0,0,0,0,0,22,0,NA,0,50000
2020-05-15T05:00:00Z,4135001,2020-05-15,5,5,Fri,136,Night_Low,24.177105799999996,22.551908466666664,0,-1.6251973333333325,0,Night,0,0,0,0,0,22,0,NA,0,50000
2020-05-15T05:15:00Z,4135001,2020-05-15,5,5,Fri,136,Night_Low,24.304888,22.979492071428577,0,-1.325395928571421,0,Night,0,0,0,0,0,21,0,NA,0,50000
2020-05-15T05:30:00Z,4135001,2020-05-15,5,5,Fri,136,Night_Low,24.328727266666665,23.452380466666668,0,-0.8763467999999968,0,Night,0,0,0,0,0,21,0,NA,0,50000
2020-05-15T05:45:00Z,4135001,2020-05-15,5,5,Fri,136,Night_Low,24.289211133333332,23.096691933333332,8.6272124133333e-4,-1.1925191999999996,0,Low,0,0,0,0,0,21,0,NA,0,50000
2020-05-15T06:00:00Z,4135001,2020-05-15,6,5,Fri,136,Morning,24.088446066666663,22.2067566,0.00588695718666666,-1.8816894666666641,0,Low,942.14880953,90.92916666800001,0,0.0018185833333600001,0.0018185833333600001,21,0,10.361348773490553,1,50000
2020-05-15T06:15:00Z,4135001,2020-05-15,6,5,Fri,136,Morning,24.01163526666667,22.35345866666667,0.02228160746666666,-1.6581766000000009,0,Low,6142.1011903,593.33869048,61.261904762,0.011866773809599999,0.011866773809599999,21,2.917233560095238,10.351762473691299,1,50000
2020-05-15T06:30:00Z,4135001,2020-05-15,6,5,Fri,136,Morning,23.976731266666665,22.893282,0.04940972386666666,-1.0834492666666655,0,Low,15271.1547618,1480.1946428600002,324.529761903,0.0296038928572,0.0296038928572,22,14.751352813772728,10.316990968359002,1,50000
2020-05-15T06:45:00Z,4135001,2020-05-15,6,5,Fri,136,Morning,24.21899,24.442443933333333,0.0953944536,0.22345393333333163,0,Low,28626.589287,2790.4482143,819.50595237,0.055808964286,0.055808964286,22,37.25027056227273,10.258778192083792,1,50000
2020-05-15T07:00:00Z,4135001,2020-05-15,7,5,Fri,136,Morning,24.537398399999997,27.185652866666665,0.1419404433333333,2.6482544666666676,0,Low,41345.91428700001,4052.6621429,1717.7499999899999,0.081053242858,0.081053242858,22,78.0795454540909,10.20216164809972,1,50000
2020-05-15T07:15:00Z,4135001,2020-05-15,7,5,Fri,136,Morning,24.8159595,28.888477857142853,0.15471267571428568,4.072518357142851,0,Low,44564.20833,4368.7226191,2751.9761903999997,0.087374452382,0.087374452382,22,125.08982683636363,10.200741089664481,1,50000
2020-05-15T07:30:00Z,4135001,2020-05-15,7,5,Fri,136,Morning,24.988789866666668,29.6056438,0.14879915333333332,4.616853933333331,0,Low,43619.291666000005,4275.935119000001,3850.3750001,0.08551870238000002,0.08551870238000002,22,175.0170454590909,10.201111675473951,1,50000
2020-05-15T07:45:00Z,4135001,2020-05-15,7,5,Fri,136,Morning,25.21618033333333,29.547110933333336,0.1447934189333333,4.330930600000006,0,Low,44395.892857000006,4352.094642699999,4888.4285715,0.08704189285399998,0.08704189285399998,22,222.20129870454545,10.201040303998814,1,50000
2020-05-15T08:00:00Z,4135001,2020-05-15,8,5,Fri,136,Morning,25.41951306666667,31.41254473333333,0.20163862133333332,5.99303166666666,0,Medium,64834.803572000004,6365.6089285,6160.8214287,0.12731217857,0.12731217857,22,280.0373376681818,10.185169133108804,1,50000
2020-05-15T08:15:00Z,4135001,2020-05-15,8,5,Fri,136,Morning,25.959082133333332,35.5287108,0.3457076533333333,9.569628666666667,0,Medium,101937.157142,10002.0646429,8229.2071429,0.200041292858,0.200041292858,22,374.05487013181823,10.191611510365556,1,50000
2020-05-15T08:30:00Z,4135001,2020-05-15,8,5,Fri,136,Morning,26.430782066666666,40.3180586,0.40534857266666663,13.887276533333335,0.3180586000000005,Medium,112129.56547299998,10995.6029761,10969.9880953,0.21991205952200002,0.21991205952200002,22,498.63582251363636,10.197673171423556,1,50000
2020-05-15T08:45:00Z,4135001,2020-05-15,8,5,Fri,136,Morning,26.8318298,39.08195373333332,0.3124267953333333,12.25012393333332,0,Medium,92505.46428500001,9080.0678571,13269.5178572,0.18160135714200001,0.18160135714200001,22,603.1599026,10.187750327511813,1,50000
